time=2025-07-19T11:23:20.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:25.145-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:30.145-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:35.145-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:40.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:45.145-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:50.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:23:55.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:00.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:05.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:10.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:15.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:20.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:25.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:30.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:35.142-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:40.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:45.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:50.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:24:55.144-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
time=2025-07-19T11:25:00.143-04:00 level=INFO msg="Service health check" service=session-service auth_service=available game_service=available status=all_healthy
